"Niche","BusinessName","Rating","Reviews","HotLead_NeedsReviews","Phone","Website","Address","MapsLink"
"Roofers","Pradeep Gond Fabrication Work","4.9","101","No","+91 70571 07811","http://pradeepgondfabrication.com/","Rukmani Niwas, Rawanfond Cir, Madgaon, Davorlim, Goa 403601, India","https://www.google.com/maps/place/15.2691269,73.9785825"
"Auto Repair","Shree Jyotirling Auto garage","4.9","241","No","+91 76762 38623","https://www.carnoscar.com/shree-jyotirling-auto-garage.php","Calangute - Arpora Rd, near balli resort, Arpora, Goa 403516, India","https://www.google.com/maps/place/15.5675996,73.7641299"
"Auto Repair","Faiz Auto Garage","4.9","140","No","+91 82082 36318","http://faizautogarage.com/","Calangute - Mapusa Rd, Panaji, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.540965,73.7683045"
"Roofers","CH Waterproofing And Civil Works","4.9","79","No","+91 88056 98578","https://www.chwaterproofing.in/","Cabesa Road, Cabesa Ward, Santa Cruz, Goa 403005, India","https://www.google.com/maps/place/15.466743,73.85075479999999"
"Dentists","Perfect 32 Dental Clinic","4.9","77","No","+91 87932 63363","https://rb.gy/39xvyb","Jasmin complex, V. N. Naik Rd, Chandrawado, Ambaji, Madgaon, Goa 403602, India","https://www.google.com/maps/place/15.2997511,73.9648376"
"Dentists","Dr. Vipin Naik","4.9","78","No","N/A","https://drvipinvidyanandnaik.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu","Bethora Industrial Estate, Betora, Goa 403409, India","https://www.google.com/maps/place/15.386612999999999,74.0195602"
"Dentists","Dr Hubert Gomes Dental Clinic","4.9","843","No","+91 70834 35259","http://dentistingoa.com/","Second floor, Reliance House, Isidorio Baptista Rd, opposite IDBI Bank, near Bata Showroom, Pajifond, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2723585,73.9617908"
"Roofers","SOHAIB STEEL","4.9","755","No","+91 86687 65599","N/A","Shop No 296, Postwada, Honda, Satari, Goa 403530, India","https://www.google.com/maps/place/15.544755199999999,74.0558609"
"Dentists","Dr. Mansingh Patil's Dental Practice","5","106","No","+91 99220 32733","https://drmansinghpatil.com/","A1, Almita Complex, F1, High Street, next to Plantain Leaf Restaurant, Naika Vaddo, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.545193099999999,73.7617772"
"Dentists","DENTISTRY CO. GOA","5","72","No","+91 97396 12414","http://dentistryco.in/","Second Floor, Satt Adhar Basilios, S1, above Basilios Gym, Santa Inez, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4887383,73.8187362"
"Dentists","Smile Craft Goa - Dentist, Orthodontist in Panjim","5","102","No","+91 89993 22176","http://smilecraftgoa.com/","G 11, Silvio heights, St Inez Rd, Santa Inez, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.489077499999999,73.81899039999999"
"Dentists","Pai Dental Clinic","5","401","No","+91 93074 62659","http://paidentalclinic.com/","First floor, opposite Hotel Treehouse Neptune, Ozari, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4986816,73.8263303"
"Auto Repair","Mosin Automobiles","5","344","No","+91 86230 84102","N/A","Shop Number, Munj Vihar, 12, Highway Bypass, Vidya Nagar, Gogol, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.280578199999999,73.9810201"
"Dentists","Revive Face $ Dental Centre Goa - Panjim's Dentist, for Implants, Braces, Root Canal, Wisdom Tooth Removal, Aligner.","5","197","No","+91 89288 55904","https://revive-face-dental.grexa.site/","Shop No: 108, First Floor, Gera Imperium Greens, next to Jairam Complex, Mala, Neugi Nagar, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4896961,73.83251369999999"
