"Niche","BusinessName","Rating","Reviews","HotLead_NeedsReviews","Phone","Website","Address","MapsLink"
"Auto Repair","Auto tech jaffer mechanic","4.9","30","Yes (Low Rating/Reviews)","091758 26835","https://www.vegoo.in/south-goa/margao/car-repair-service/auto-tech-jaffer-mechanic-khareband-near-abrar-masjid-margao-south-goa","Khareband, near Abrar masjid, Madgaon, Shirvodem, Goa 403601, India","https://www.google.com/maps/place/15.2666011,73.9573513"
"Auto Repair","NOOR AUTO REPAIR","4.9","18","Yes (Low Rating/Reviews)","072497 61763","https://www.instagram.com/princesohelsalmani07/profilecard/?igsh=MW1leDFyYzVpdG1ucw==","Sapna park, Betoda.road, Ponda – Curti Rd, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.398994,74.0203137"
"Plumbers","Abhilash kalal plumbing service","4.9","39","Yes (Low Rating/Reviews)","079726 28339","N/A","Ganesh nagar gotnichowal, near Ganesh temple, colvale, Mapusa, Goa 403526, India","https://www.google.com/maps/place/15.6209301,73.8196861"
"Roofers","Tech Roof Technologies- Roofing Contractor","5.0","6","Yes (Low Rating/Reviews)","090213 79354","https://techrooftechnologies.com/","Buildmore Business Park, near mapusa police, Mapusa, Siolim, Goa 403517, India","https://www.google.com/maps/place/15.6282062,73.8066163"
"Roofers","Smart Build India","5.0","2","Yes (Low Rating/Reviews)","074987 70592","https://www.smartbuildindia.com/","office No.202, 2nd floor, Commerce centre, opp. SBI Agri Branch, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.5914326,73.81248889999999"
"Plumbers","Plumbing services","5.0","1","Yes (Low Rating/Reviews)","097304 97232","N/A","Dabolim, Vasco Da Gama, Goa 403802, India","https://www.google.com/maps/place/15.3970028,73.8258845"
"Roofers","Goa Major Fabrication Work","5.0","46","Yes (Low Rating/Reviews)","091305 62645","https://goa-major-fabrication.grexa.site/","Matton shop, Canca, Abaxio Vaddo, Parra, Mapusa, Goa 403510, India","https://www.google.com/maps/place/15.576,73.7962423"
"Roofers","Telhado roofing Tiles","5.0","4","Yes (Low Rating/Reviews)","090906 55959","http://telhado.in/","923/231, Defence Colony, Porvorim, Aradi Socorro, Goa 403521, India","https://www.google.com/maps/place/15.5388245,73.8315417"
"Roofers","Maxroof Corporation Pvt Ltd - Goa Office","5.0","7","Yes (Low Rating/Reviews)","084088 80099","http://www.maxroof.in/","Defence Colony, Porvorim, Salvador du Mundu, Goa 403521, India","https://www.google.com/maps/place/15.5358002,73.828029"
"Roofers","IG INFRA GOA","5.0","2","Yes (Low Rating/Reviews)","N/A","https://iginfrago.com/","N/A","https://www.google.com/maps/place/15.3497285,74.00641279999999"
"Roofers","Ekdant Trading Co.","5.0","4","Yes (Low Rating/Reviews)","075889 20202","N/A","Shop S-2, Sai Girija Complex, near Sai Baba Temple, Cunchelim, Mapusa, Goa 403526, India","https://www.google.com/maps/place/15.6165635,73.81935779999999"
"Plumbers","Yusuf Plumbing & Contractor","5.0","2","Yes (Low Rating/Reviews)","093252 90937","N/A","near Costa factory, Aquem, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2704195,73.9704277"
"Plumbers","Hi teck plumber","5.0","7","Yes (Low Rating/Reviews)","086690 40473","N/A","St. Inez, Santa Inez, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4878192,73.8182471"
"Plumbers","S N plumbing","5.0","9","Yes (Low Rating/Reviews)","081150 07333","N/A","Room no 4, Third floor, Naroji wada, above Bandekar wine shop, Morjim, Goa 403512, India","https://www.google.com/maps/place/15.6277298,73.7440969"
"Nike store","Nike Store","4.4","467","No","0832 222 5327","https://www.nike.com/in/","Shop No. 12, 42/2 12/44 and 12/44/3, MG Road, next to Delhi Darbar, Opposite Azad Maidan, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.5003201,73.8270402"
